city,state,latitude,longitude,population,source_name
ASHLAND,KY,38.47841,-82.63794,21108,Ashland
ASHLAND,OH,40.86867,-82.31822,20317,Ashland
ASHLAND,PA,40.78175,-76.34578,2734,Ashland
ASHLAND,VA,37.75903,-77.47998,7503,Ashland
ASHLAND,WI,46.59244,-90.8838,8040,Ashland
ASHLEY,IN,41.5262,-85.06678,985,Ashley
ASHVILLE,OH,39.71562,-82.95296,4190,Ashville
ASPERMONT,TX,33.13343,-100.22733,868,Aspermont
ATALISSA,IA,41.57114,-91.16599,306,Atalissa
ATCHISON,KS,39.56305,-95.12164,10712,Atchison
ATHENS,GA,33.96095,-83.37794,127315,Athens
ATHENS,TN,35.44285,-84.59299,13688,Athens
ATKINS,AR,35.24647,-92.93656,3051,Atkins
ATKINS,VA,36.86734,-81.42344,1143,Atkins
ATKINSON,IL,41.42087,-90.01511,948,Atkinson
ATLANTA,GA,33.749,-84.38798,510823,Atlanta
ATLANTA,IL,40.25948,-89.23342,1648,Atlanta
ATMORE,AL,31.02379,-87.49387,10049,Atmore
ATOKA,OK,34.38593,-96.12833,3065,Atoka
ATTAPULGUS,GA,30.74932,-84.48568,435,Attapulgus
ATWOOD,CO,40.54776,-103.26966,133,Atwood
AUBREY,TX,33.30428,-96.98612,3352,Aubrey
AUBURN,ME,44.09785,-70.23117,22871,Auburn
AUBURN,NH,43.00453,-71.3484,5089,Auburn
AUDUBON,IA,41.71804,-94.93249,2017,Audubon
AUGUSTA,GA,33.47097,-81.97484,43459,Augusta
AUGUSTA,ME,44.31062,-69.77949,18899,Augusta
AURORA,CO,39.72943,-104.83192,359407,Aurora
AURORA,MO,36.97089,-93.71798,7477,Aurora
AURORA,NE,40.86723,-98.00422,4496,Aurora
AURORA,OR,45.23095,-122.75593,979,Aurora
AUSTIN,IN,38.75839,-85.80803,4295,Austin
AUSTIN,MN,43.66663,-92.97464,24563,Austin
AUSTIN,TX,30.26715,-97.74306,974447,Austin
AUSTINBURG,OH,41.772,-80.85453,516,Austinburg
AUSTINVILLE,VA,36.85123,-80.91202,0,Austinville
AVENEL,NJ,40.58038,-74.28515,17011,Avenel
AVIS,PA,41.18479,-77.31386,1508,Avis
AVOCA,IA,41.47666,-95.33805,1504,Avoca
AVON,NY,42.91201,-77.74556,3319,Avon
AVON,OH,41.45171,-82.03542,22544,Avon
AVONDALE,AZ,33.4356,-112.3496,80684,Avondale
AYER,MA,42.5612,-71.58979,2868,Ayer
AYNOR,SC,33.99989,-79.19949,667,Aynor
AZLE,TX,32.89513,-97.54586,11693,Azle
AZTEC,NM,36.82223,-107.99285,6147,Aztec
BADEN,PA,40.63507,-80.22812,4037,Baden
BAINBRIDGE,GA,30.9038,-84.57547,12507,Bainbridge
BAIRD,TX,32.39402,-99.39424,1483,Baird
BAKER,FL,30.16604,-85.68576,0,Baker
BAKER CITY,OR,44.77487,-117.83438,9752,Baker City
BALD KNOB,AR,35.30981,-91.56791,2908,Bald Knob
BALDWIN,WI,44.96663,-92.37436,3972,Baldwin
BALLINGER,TX,31.73821,-99.94731,3767,Ballinger
BALTIMORE,MD,39.29038,-76.61219,585708,Baltimore
BANGOR,ME,44.79884,-68.77265,32391,Bangor
BANGS,TX,31.7171,-99.13255,1581,Bangs
BARABOO,WI,43.47109,-89.74429,12155,Baraboo
BARBERTON,OH,41.01283,-81.60512,26234,Barberton
BARDSTOWN,KY,37.80923,-85.4669,13091,Bardstown
BARNEVELD,WI,43.01555,-89.8954,1232,Barneveld
BARNHART,MO,38.34422,-90.39345,5682,Barnhart
BARRINGTON,NH,43.22286,-71.04701,8417,Barrington
BARRON,WI,45.40135,-91.84906,3322,Barron
